公司名称,薪金
上海纳纳科技有限公司,10k-20k
上海纳纳科技有限公司,12k-21k
杭州知衣科技有限公司,15k-23k
北京数美时代科技有限公司,10k-20k
杭州昊晟投资管理有限公司,15k-20k
杭州昊晟投资管理有限公司,15k-20k
大查柜（上海）网络科技有限公司,8k-10k
蓝世纪（北京）软件有限公司,15k-25k
上海别样秀数据科技有限公司,10k-20k
上海文盛资产管理股份有限公司,15k-18k
文思海辉技术有限公司,10k-15k
重庆椿江科技有限公司,7k-10k
深圳市和讯华谷信息技术有限公司,12k-20k
奇虎360科技有限公司,15k-25k
智线云科技（北京）有限公司,8k-15k
上海海万信息科技股份有限公司,13k-18k
深圳市一面网络技术有限公司,10k-18k
深圳市财盈通科技有限公司,8k-15k
北京百观科技有限公司,12k-24k
上海文盛资产管理股份有限公司,15k-18k
深圳市菲凡数据科技有限公司,10k-20k
深圳市财盈通科技有限公司,8k-15k
成都盯潮科技有限公司,12k-20k
四川无声信息技术有限公司,10k-12k
北京码博科技有限公司,10k-15k
深圳市菲凡数据科技有限公司,15k-25k
深圳市换换优品科技有限公司,8k-15k
北京字节跳动科技有限公司,20k-40k
广州市搜游网络科技有限公司,15k-30k
深圳市紫川软件有限公司,13k-20k
智线云科技（北京）有限公司,15k-25k
上海寻梦信息技术有限公司,50k-60k
广州中康资讯股份有限公司,15k-25k
易宝软件科技（南京）有限公司,10k-20k
深圳市光逸科技创新有限公司,18k-23k
北京墨云科技有限公司,20k-40k
第四范式（北京）技术有限公司,2k-4k
北京击壤科技有限公司,20k-25k
航天联盟（北京）国际航空服务有限公司,10k-20k
深圳市像素偏移科技有限公司,15k-25k
上海韬源信息技术有限公司,8k-12k
广州毅立特进出口贸易有限公司,8k-13k
上海寻梦信息技术有限公司,25k-50k
深圳开思时代科技有限公司,20k-30k
深圳市明源云客电子商务有限公司,15k-30k
北京易启跑科技有限公司,2k-3k
北京国研网信息股份有限公司,22k-27k
腾讯科技（深圳）有限公司,20k-30k
易宝软件科技（南京）有限公司,10k-20k
深圳市陀螺传媒有限公司,10k-15k
上海华钦信息科技股份有限公司,16k-25k
爱客科技（深圳）有限公司,25k-35k
上海倾听信息技术有限公司,18k-36k
北京亿欧网盟科技有限公司,10k-20k
上海基分文化传播有限公司,25k-50k
闻客信息（深圳）有限公司,15k-20k
智慧工匠科技有限公司,8k-16k
秋硕信息科技（广州）有限公司,15k-20k
北京搜狗科技发展有限公司,20k-40k
腾讯科技（深圳）有限公司,20k-40k
深圳市博悦科创科技有限公司,10k-15k
深圳市同和信息技术有限公司,10k-14k
深信服科技股份有限公司,11k-22k
成都京波科技有限公司,10k-18k
微梦创科网络科技（中国）有限公司,20k-40k
易宝软件科技（南京）有限公司,10k-20k
杭州青塔科技有限公司,8k-9k
集商网络科技（上海）有限公司,10k-16k
深圳小步网络科技有限公司,15k-30k
腾讯科技（深圳）有限公司,10k-15k
上海众言网络科技有限公司,20k-35k
北京瑞友科技股份有限公司杭州分公司,11k-22k
上海众言网络科技有限公司,12k-18k
爱客科技（深圳）有限公司,25k-35k
尔孚信息技术（上海）有限公司,15k-25k
一点网聚科技有限公司,15k-30k
一点网聚科技有限公司,15k-25k
北京阿姨多多网络科技有限公司,3k-5k
常州指南者教育咨询有限公司,2k-4k
常州指南者教育咨询有限公司,2k-4k
北京华为数字技术有限公司,14k-28k
北京字节跳动科技有限公司,20k-30k
上海闵行区青悦环保信息技术服务中心,3k-5k
深圳点猫科技有限公司,8k-15k
武汉佰钧成技术有限责任公司,12k-21k
武汉佰钧成技术有限责任公司,13k-17k
奥解思信息科技（上海）有限公司,15k-22k
北京字节跳动科技有限公司,25k-40k
腾讯科技（深圳）有限公司,15k-30k
易宝软件科技（南京）有限公司,10k-20k
华为技术有限公司,20k-40k
腾讯科技（深圳）有限公司,20k-40k
北京字节跳动科技有限公司,30k-60k
武汉小果科技有限公司,9k-15k
成都泰游趣科技有限公司,5k-7k
上海莉莉丝科技股份有限公司,6k-8k
深圳市博悦科创科技有限公司,13k-15k
深圳市圆代码互联网有限公司,10k-20k
上海易路软件有限公司,8k-15k
同程网络科技股份有限公司,15k-25k
嘉兴晨计教育科技有限公司,5k-9k
上海易路软件有限公司,18k-28k
达内时代科技集团有限公司,15k-25k
九章算法（杭州）科技有限公司,10k-15k
成都琛石科技有限公司,6k-12k
数聚变(北京)科技有限公司,3k-6k
北京嘉和美康信息技术有限公司,15k-25k
开易（北京）科技有限公司,8k-12k
深圳点猫科技有限公司,8k-15k
清枫（北京）科技有限公司,7k-14k
易宝软件科技（南京）有限公司,12k-24k
北京市商汤科技开发有限公司,18k-35k
翼健（上海）信息科技有限公司,12k-20k
深圳点猫科技有限公司,3k-4k
四川伊澳农业科技有限公司,30k-50k
达内时代科技集团有限公司,10k-15k
上海估家网络科技有限公司,10k-15k
凤凰飞扬（北京）新媒体信息技术有限公司,20k-30k
嘉兴构美信息技术有限公司,20k-35k
深圳市前海房极客网络科技有限公司,10k-20k
北京博乐科技有限公司,15k-30k
上海淇毓信息科技有限公司,15k-30k
网易（杭州）网络有限公司,20k-40k
杭州知衣科技有限公司,15k-22k
杭州博彦信息技术有限公司,20k-25k
北京微光果壳科技有限公司,25k-40k
